ปี,ชื่อ-นามสกุล,ตำแหน่ง,ประเภทกรรมการ,คณะกรรมการ
2566,นายณรงค์ฤทธิ์ พานิชชวะ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นายธงชัย กฤติหัตถยากร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นายวชิรวิทย์ บุญเติม,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นายอาคม ชัยวีระวัฒนะ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,ผศ. พิเศษ ธนินทร์ เวชชาภินันท์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,ผู้แทนสำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,พล.อ.อ. อิทธพร คณะเจริญ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,รศ. พฤหัส ต่ออุดม,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,รศ. พิสิษฐ์ พิริยะพรรณ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,รศ. วรศักดิ์ จรัสชัยศรี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,รศ. ศุภชัย รัตนมณีฉัตร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,ศ.คลินิก สุพรรณ ศรีธรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นางลักษมี สุวรรณภักดี,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นางวิภาพรรณ มาประเสริฐ,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นางสาวนลัทพร ไกรฤกษ์,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นางสาวเพ็ชรรัตน์ เอกแสงกุล,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นางสิริวัน ร่วมฉัตรทอง,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นายจตุรงค์ ไพรสิงห์,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นายชโรธร จตุทิพย์สมพล,ผู้ทรงคุณวุฒิด้านระบบงานประกันสังคม,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นายชลิต รัษฐปานะ,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นายชัชพงศ์ โชติศิริ,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นายชาติพงษ์ จีระพันธุ,ผู้ทรงคุณวุฒิด้านกฎหมาย,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นายทวีเกียรติ รองสวัสดิ์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นายธนพงษ์ เชื้อเมืองพาน,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นายพรเทพ ศิริวนารังสรรค์,ผู้ทรงคุณวุฒิด้านการแพทย์,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นายมนตรี ฐิรโฆไท,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,นายศิววงศ์ สุขทวี,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,นายสมจินต์ ศรไพศาล,ผู้ทรงคุณวุฒิด้านบริหารการลงทุน,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นายสุชาติ พรชัยวิเศษกุล,ผู้ทรงคุณวุฒิด้านบริหารจัดการ,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นายสุวิทย์ ศรีเพียร,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2566,รศ. ณรงค์ เพ็ชรประเสริฐ,ผู้ทรงคุณวุฒิด้านเศรษฐศาสตร์,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,รศ. ษัษฐรัมย์ ธรรมบุษดี,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2566,รศ. อนุสรณ์ ธรรมใจ,ผู้ทรงคุณวุฒิด้านการเงินการคลัง,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2566,นางลักษมี สุวรรณภักดี,อนุกรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวจริยา นิลสังหะ,อนุกรรมการ,นักทรัพยากรบุคคลชำนาญการพิเศษ แทน ผู้อำนวยการกองบริหารทรัพยากรบุคคล,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวชมพูเพ็ญ ศิริธร,อนุกรรมการและเลขานุการ,ผู้อำนวยการกองนโยบายและแผนงาน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวณัชภัทรกานต์ โชติศิริ,อนุกรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวนันทินี ทรัพย์ศิริ,อนุกรรมการ,ที่ปรึกษาด้านประกันสังคมสำนักงานประกันสังคม,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวมุทิตา ชูประดิษฐ์,อนุกรรมการ,ผู้อำนวยการสำนักบริหารเทคโนโลยีสารสนเทศ,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวสุภาพร ยั่งยืน,อนุกรรมการ,นักวิชาการสถิติชำนาญการพิเศษ แทน ผู้อำนวยการกองวิจัยและพัฒนา,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางสาวอรอารยา ปานแดง,อนุกรรมการและผู้ช่วยเลขานุการ,ผู้อำนวยการกลุ่มงานนโยบายและแผน กองนโยบายและแผนงาน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางอุสนีย์ ศิลปศร,อนุกรรมการ,รองเลขาธิการสำนักงานประกันสังคม,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นายชโรธร จตุทิพย์สมพล,อนุกรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นายชลิต รัษฐปานะ,อนุกรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นายปรารถนา โพธิ์ดี,อนุกรรมการ,ผู้ทรงคุณวุฒิด้านแรงงาน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นายศุภสิทธิ์ กลมทุกสิ่ง,อนุกรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นายสุวัฒน์ เอื้อเฟื้อ,อนุกรรมการ,ผู้ทรงคุณวุฒิด้านทรัพยากรบุคคล,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,พลโท กฤษฎา ดวงอุไร,ประธานอนุกรรมการ,ผู้ทรงคุณวุฒิด้านบริหารจัดการ,คณะอนุกรรมการติดตามประเมินผลงานตามแผนปฏิบัติราชการสำนักงานประกันสังคม
2566,นางนฤมล บุญมี,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางพูลทรัพย์ สวนเมือง ตุลาพันธ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางลักษมี สุวรรณภักดี,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางสาวนฤมล บุญมี,อนุกรรมการ และเลขานุการ,ผู้อำนวยการสำนักเสริมสร้างความมั่นคงแรงงานนอกระบบ และเลขานุการ สำนักงานประกันสังคม,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางสาวปุณญาภา มงคล,อนุกรรมการ,แทนผู้อำนวยการกองวิจัยและพัฒนา,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางสาวเรวดี ขวัญทองยิ้ม,อนุกรรมการ,ผู้แทนสำนักงานคณะกรรมการกฤษฎีกา,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางสุจิน รุ่งสว่าง,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายกฤษฎา ธีระโกศลพงษ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายชนินทร์ วงษ์ศรี,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายทวีเกียรติ รองสวัสดิ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายธนากรณ์ ทอนมณี,อนุกรรมการ และผู้ช่วยเลขานุการ,ทนผู้อำนวยการกลุ่มงานกำหนดมาตรฐานหลักเกณฑ์ การคุ้มครองประกันสังคมมาตรา ๔๐,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายไพรัตน์ ทรัพย์อนันต์,อนุกรรมการ,ผู้แทนกระทรวงมหาดไทย,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายภัทรพงษ์ กิตติวิริยะพันธุ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายมนตรี ฐิรโฆไท,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายวุฒิชัย ติณรัตน์,อนุกรรมการ,แทนผู้อำนวยการกองกฎหมาย,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายสมศักดิ์ ชูสุข,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายสุวิทย์ ศรีเพียร,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายแสงชัย ธีรกุลวาณิช,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นายอดุล ขาวละออ,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพัฒนาระบบประกันสังคมมาตรา 40
2566,นางสาวนันทินี ทรัพย์ศิริ,ประธานอนุกรรมการ,ประธานอนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นางสาวมุทิตา ชูประดิษฐ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายชลอ อินทพันธุ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายชลิต รัษฐปานะ,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายชานน พุทธนวรัตน์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายไชยวัฒน์ วรรณโคตร,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายเดชบุญ มาประเสริฐ,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายทนงศักดิ์ พุกคล้าย,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายทวีเกียรติ รองสวัสดิ์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายทินกร เทียนประทุม,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายเทวัญ แก้วศักดาศิริ,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายธนพัฒน์ บริรักษ์,อนุกรรมการและเลขานุการ,อนุกรรมการและเลขานุการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายธนวัฒน์ เรื่องเทพรัชต์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายธนากร ชัยวิชู,อนุกรรมการและผู้ช่วยเลขานุการ,อนุกรรมการและผู้ช่วยเลขานุการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายธีระชาติ ก่อตระกูล,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายประจวบ ทองอยู่,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายประพันธ์ ปุษยไพบูลย์,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายพรชัย หาญยืนยงสกุล,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นายรังสฤษฎ์ น้อยอุบล,อนุกรรมการ,ผู้แทนกระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม (อนุกรรมการ),คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,รศ. มหศักดิ์ เกตุฉ่ำ,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,รศ. ษัษฐรัมย์ ธรรมบุษดี,อนุกรรมการ,อนุกรรมการ,คณะอนุกรรมการพิจารณาระบบเทคโนโลยีสารสนเทศและการสื่อสาร
2566,นางสาวณัฐชนน วัฒนญาณนนท์,รองเลขาธิการ สำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นางสาวนันทินี ทรัพย์ศิริ,ที่ปรึกษาด้านประสิทธิภาพ สำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นางสาววีระกา บุญรัตน์,รองเลขาธิการ สำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นางสาวอำพันธ์ ธุววิทย์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นายบุญสงค์ ทัพชัยยุทธ์,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นายสุทธิ สุโกศล,ที่ปรึกษา,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2566,นายสุรสิทธิ์ ศรีแก้ว,รองเลขาธิการ สำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2565,นพ. สุขสันต์ กิตติศุภกร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,นายวิกรม ปิติสุข,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,นายวิวัฒน์ อัศวศิริเลิศ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,ผศ. นพ. ธนิศร์ เวชชาภินันท์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,ผู้แทนสำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,นพ. ธนา ธุระเจน,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,พลอากาศตรี นพ. สันติ ศรีเสริมโภค,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,พลเอก สาโรช เขียวขจี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,รศ. นพ. พิสิษฐ์ พิริยาพรรณ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,รศ. นพ. วีระศักดิ์ จรัสชัยศรี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,รศ. นพ. ศุภชัย รัตนมณีฉัตร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,รศ. นพ. สุรศักดิ์ ลีลาอุดมลิปิ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,ศ. ดร. นพ. ประสิทธิ์ วิทยสัมฤทธิ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,ศ.คลินิก นพ. สุพรรณ ศรีธรรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,ศ.คลินิกเกียรติคุณ นพ. เหลือพร ปุณณกันต์,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนประกันสังคม
2565,นางนิยดา เสนีวงศ์มั่น,ผู้ช่วยเลขานุการ,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2565,นางสาวนันทินี ทรัพย์ศิริ,ผู้ช่วยเลขานุการ,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2565,นางสาวอรุณี ศรีโต,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2565,นายทวี ดียิ่ง,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2565,นายธีระวิทย์ วงศ์เพชร,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2565,นายพัจน์ อร่ามวิไลวัฒน์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2565,นายสัมพันธุ์ นครศรี,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2565,นายสุวิทย์ ศรีเพียร,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2565,พลโท กฤษฎา ดวงอุไร,ที่ปรึกษา,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2565,นางเธียรรัตน์ นะวะมะวัฒน์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นางอำมร เชาวลิต,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายกวี รัตนปรีชาเวช,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายชาญวิทย์ ทระเทพ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายชาติพงษ์ จีระพันธุ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายธนัสถา คำมาวงษ์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายสมพงษ์ เจริญทรัพย์ถาวร,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายอนันต์ชัย อุทัยพัฒนาชีพ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,ผู้แทนสำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,ว่าที่ ร.ต. สิทธิพร บาลทิพย์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2565,นางมารศรี ใจรังษี,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2565,นางสาวจีระภา บุญรัตน์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2565,นางสาวณัฐชนน วัฒนญาณนนท์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2565,นางสาวนันทินี ทรัพย์ศิริ,ที่ปรึกษาด้านประสิทธิภาพ สำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2565,นายบุญสงค์ ทัพชัยยุทธ์,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2564,นพ. ชาญวิทย์ ธีระเทพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นางเธียรรัตน์ นะวะมะวัฒน์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นางอำมร เชาวลิต,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายกวี รัตนปรีชาเวช,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายธนสถิต คำามาวงษ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายสมพงษ์ เจริญทรัพย์ทวี,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายอนันต์ชัย อุทัยพัฒนาชีพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการกองทุนเงินทดแทน
2564,ว่าที่ ร.ต. สิทธิพงษ์ บาลพิชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2564,นายสมจินต์ ศรไพศาล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2564,นายสมชาย พรหมรัตนสุวรรณ,ประธานกรรมการ,ประธาน,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2564,นายสุชาติ พรชัยวิเศษกุล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2564,นายทวีเกียรติ รองสวัสดิ์,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2564,นายวิรัช ลาภพรหมรัตน,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2564,นายสมจินต์ ศรไพศาล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2564,นายสมหมาย ภาษี,ประธานกรรมการ,ประธาน,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2564,นายสุชาติ พรชัยวิเศษกุล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2564,นพ. ธิงชัย กฤติหัตถยากร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2564,นพ. วิบูลย์ สงวนพงศ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2564,นพ. สุพจน์ ศรีธีรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2564,ผศ. นพ. พิเชษฐินทร์ เวชชาภินันท์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
